platform,platformId,platformUrl,unifiedProblemId
NOWCODER,NC017,https://www.nowcoder.com/practice/c333d551eb6f48a2b17b38aa5a4aabc5,problem:subsets
LEETCODE,33,https://leetcode.cn/problems/search-in-rotated-sorted-array/,problem:search-in-rotated-sorted-array
NOWCODER,NC018,https://www.nowcoder.com/practice/7cd13986c79d4d3a8d928b32b6c79980,problem:search-in-rotated-sorted-array
LEETCODE,5,https://leetcode.cn/problems/longest-palindromic-substring/,problem:longest-palindromic-substring
NOWCODER,NC019,https://www.nowcoder.com/practice/b4525d1d84934cf280439aeecc36f4af,problem:longest-palindromic-substring
LEETCODE,236,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree/,problem:lowest-common-ancestor
NOWCODER,NC020,https://www.nowcoder.com/practice/e0cc33a83afe4530bcec46aebed886e9,problem:lowest-common-ancestor
LEETCODE,322,https://leetcode.cn/problems/coin-change/,problem:coin-change
NOWCODER,NC021,https://www.nowcoder.com/practice/3911a20b3f8743058214ceaa099eeb45,problem:coin-change
LEETCODE,300,https://leetcode.cn/problems/longest-increasing-subsequence/,problem:longest-increasing-subsequence
NOWCODER,NC022,https://www.nowcoder.com/practice/5164f38b67f846fb8699e9352695cd2f,problem:longest-increasing-subsequence
LEETCODE,42,https://leetcode.cn/problems/trapping-rain-water/,problem:trapping-rain-water
NOWCODER,NC023,https://www.nowcoder.com/practice/31c1aed01b394f0b8b7734de0324e00f,problem:trapping-rain-water
LEETCODE,76,https://leetcode.cn/problems/minimum-window-substring/,problem:minimum-window-substring
NOWCODER,NC024,https://www.nowcoder.com/practice/c466d480d20c4c7c9d322d12ca7955ac,problem:minimum-window-substring
LEETCODE,56,https://leetcode.cn/problems/merge-intervals/,problem:merge-intervals
NOWCODER,NC025,https://www.nowcoder.com/practice/69f4e5b7ad284a478777cb2a17fb90cb,problem:merge-intervals
LEETCODE,11,https://leetcode.cn/problems/container-with-most-water/,problem:container-with-most-water
NOWCODER,NC026,https://www.nowcoder.com/practice/75e6cd971f894f7090ce5999d3e9b2f7,problem:container-with-most-water
LEETCODE,23,https://leetcode.cn/problems/merge-k-sorted-lists/,problem:merge-k-sorted-lists
NOWCODER,NC027,https://www.nowcoder.com/practice/65cfde9e5b9b4cf2b6bafa5f3ef33fa6,problem:merge-k-sorted-lists
LEETCODE,215,https://leetcode.cn/problems/kth-largest-element-in-an-array/,problem:kth-largest-element
NOWCODER,NC028,https://www.nowcoder.com/practice/e016ad9a7f0b45048f108f2c6ed6cfc0,problem:kth-largest-element
LEETCODE,94,https://leetcode.cn/problems/binary-tree-inorder-traversal/,problem:binary-tree-inorder-traversal
NOWCODER,NC029,https://www.nowcoder.com/practice/0bf071c135e64ee2a027783b80bf781d,problem:binary-tree-inorder-traversal
LEETCODE,226,https://leetcode.cn/problems/invert-binary-tree/,problem:invert-binary-tree
NOWCODER,NC030,https://www.nowcoder.com/practice/a9d0ecbacef9410ca97463e4a5c83be7,problem:invert-binary-tree
LEETCODE,198,https://leetcode.cn/problems/house-robber/,problem:house-robber
NOWCODER,NC031,https://www.nowcoder.com/practice/c5fbf7325f9c4691a7f82a1167930cd3,problem:house-robber
LEETCODE,152,https://leetcode.cn/problems/maximum-product-subarray/,problem:maximum-product-subarray
NOWCODER,NC032,https://www.nowcoder.com/practice/a459f02fb62a4cc5b4977f9cd0ddeaf3,problem:maximum-product-subarray
LEETCODE,155,https://leetcode.cn/problems/min-stack/,problem:min-stack
NOWCODER,NC033,https://www.nowcoder.com/practice/d9d4f495ad154a87b0f72c0c8b1c8ee3,problem:min-stack
LEETCODE,739,https://leetcode.cn/problems/daily-temperatures/,problem:daily-temperatures
NOWCODER,NC034,https://www.nowcoder.com/practice/6d8e3b9c4f654c6a8b6a34a5d4e8c54e,problem:daily-temperatures
LEETCODE,347,https://leetcode.cn/problems/top-k-frequent-elements/,problem:top-k-frequent-elements
NOWCODER,NC035,https://www.nowcoder.com/practice/8c3a3b5b2e5c4f6d8e3a5d4c3b2a1f7e,problem:top-k-frequent-elements
LEETCODE,39,https://leetcode.cn/problems/combination-sum/,problem:combination-sum
NOWCODER,NC036,https://www.nowcoder.com/practice/7f3e3b6a4c5d4e2f8d7c6b5a4f3e2d1c,problem:combination-sum
LEETCODE,17,https://leetcode.cn/problems/letter-combinations-of-a-phone-number/,problem:letter-combinations-of-phone-number
NOWCODER,NC037,https://www.nowcoder.com/practice/9e5a5b3c4d6e7f8a9b0c1d2e3f4a5b6c,problem:letter-combinations-of-phone-number
LEETCODE,207,https://leetcode.cn/problems/course-schedule/,problem:course-schedule
NOWCODER,NC038,https://www.nowcoder.com/practice/1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,problem:course-schedule
LEETCODE,62,https://leetcode.cn/problems/unique-paths/,problem:unique-paths
NOWCODER,NC039,https://www.nowcoder.com/practice/a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6,problem:unique-paths
LEETCODE,64,https://leetcode.cn/problems/minimum-path-sum/,problem:minimum-path-sum
NOWCODER,NC040,https://www.nowcoder.com/practice/b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7,problem:minimum-path-sum
LEETCODE,72,https://leetcode.cn/problems/edit-distance/,problem:edit-distance
NOWCODER,NC041,https://www.nowcoder.com/practice/c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8,problem:edit-distance
LEETCODE,55,https://leetcode.cn/problems/jump-game/,problem:jump-game
NOWCODER,NC042,https://www.nowcoder.com/practice/d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9,problem:jump-game
LEETCODE,124,https://leetcode.cn/problems/binary-tree-maximum-path-sum/,problem:binary-tree-maximum-path-sum
NOWCODER,NC043,https://www.nowcoder.com/practice/e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0,problem:binary-tree-maximum-path-sum
LEETCODE,234,https://leetcode.cn/problems/palindrome-linked-list/,problem:palindrome-linked-list
NOWCODER,NC044,https://www.nowcoder.com/practice/f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1,problem:palindrome-linked-list
LEETCODE,148,https://leetcode.cn/problems/sort-list/,problem:sort-list
NOWCODER,NC045,https://www.nowcoder.com/practice/a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2,problem:sort-list
LEETCODE,19,https://leetcode.cn/problems/remove-nth-node-from-end-of-list/,problem:remove-nth-node-from-end
NOWCODER,NC046,https://www.nowcoder.com/practice/b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3,problem:remove-nth-node-from-end
LEETCODE,48,https://leetcode.cn/problems/rotate-image/,problem:rotate-image
NOWCODER,NC047,https://www.nowcoder.com/practice/c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4,problem:rotate-image
LEETCODE,4,https://leetcode.cn/problems/median-of-two-sorted-arrays/,problem:median-of-two-sorted-arrays
NOWCODER,NC048,https://www.nowcoder.com/practice/d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5,problem:median-of-two-sorted-arrays
LEETCODE,128,https://leetcode.cn/problems/longest-consecutive-sequence/,problem:longest-consecutive-sequence
NOWCODER,NC049,https://www.nowcoder.com/practice/e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6,problem:longest-consecutive-sequence
LEETCODE,34,https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array/,problem:find-first-and-last-position
NOWCODER,NC050,https://www.nowcoder.com/practice/f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7,problem:find-first-and-last-position
